"corner","active"
"0,0","false"
"0,30","false"
"0,60","false"
"0,90","false"
"0,120","false"
"0,150","false"
"0,180","false"
"0,210","false"
"0,240","false"
"0,270","false"
"0,300","false"
"0,330","false"
"0,360","false"
"0,390","false"
"0,420","false"
"0,450","false"
"0,480","false"
"0,510","false"
"0,540","false"
"0,570","false"
"0,600","false"
"0,630","false"
"0,660","false"
"0,690","false"
"0,720","false"
"0,750","false"
"0,780","false"
"0,810","false"
"0,840","false"
"0,870","false"
"0,900","false"
"0,930","false"
"30,0","false"
"30,30","false"
"30,60","false"
"30,90","false"
"30,120","false"
"30,150","false"
"30,180","false"
"30,210","false"
"30,240","false"
"30,270","false"
"30,300","false"
"30,330","false"
"30,360","false"
"30,390","false"
"30,420","false"
"30,450","false"
"30,480","false"
"30,510","false"
"30,540","false"
"30,570","false"
"30,600","false"
"30,630","false"
"30,660","false"
"30,690","false"
"30,720","false"
"30,750","false"
"30,780","false"
"30,810","false"
"30,840","false"
"30,870","false"
"30,900","false"
"30,930","false"
"60,0","false"
"60,30","false"
"60,60","false"
"60,90","false"
"60,120","false"
"60,150","false"
"60,180","false"
"60,210","false"
"60,240","false"
"60,270","false"
"60,300","false"
"60,330","false"
"60,360","false"
"60,390","false"
"60,420","false"
"60,450","false"
"60,480","false"
"60,510","false"
"60,540","false"
"60,570","false"
"60,600","false"
"60,630","false"
"60,660","false"
"60,690","false"
"60,720","false"
"60,750","false"
"60,780","false"
"60,810","false"
"60,840","false"
"60,870","false"
"60,900","false"
"60,930","false"
"90,0","false"
"90,30","false"
"90,60","false"
"90,90","false"
"90,120","false"
"90,150","false"
"90,180","false"
"90,210","false"
"90,240","false"
"90,270","false"
"90,300","false"
"90,330","false"
"90,360","false"
"90,390","false"
"90,420","false"
"90,450","false"
"90,480","false"
"90,510","false"
"90,540","false"
"90,570","false"
"90,600","false"
"90,630","false"
"90,660","false"
"90,690","false"
"90,720","false"
"90,750","false"
"90,780","false"
"90,810","false"
"90,840","false"
"90,870","false"
"90,900","false"
"90,930","false"
"120,0","false"
"120,30","false"
"120,60","false"
"120,90","false"
"120,120","false"
"120,150","true"
"120,180","true"
"120,210","true"
"120,240","true"
"120,270","true"
"120,300","true"
"120,330","true"
"120,360","true"
"120,390","true"
"120,420","true"
"120,450","true"
"120,480","true"
"120,510","true"
"120,540","true"
"120,570","true"
"120,600","true"
"120,630","false"
"120,660","false"
"120,690","false"
"120,720","false"
"120,750","false"
"120,780","false"
"120,810","false"
"120,840","false"
"120,870","false"
"120,900","false"
"120,930","false"
"150,0","false"
"150,30","false"
"150,60","false"
"150,90","false"
"150,120","true"
"150,150","true"
"150,180","true"
"150,210","true"
"150,240","true"
"150,270","true"
"150,300","true"
"150,330","true"
"150,360","true"
"150,390","true"
"150,420","true"
